masked_id,Date,Des1,Des2,Des3
1,07012016,Add Banker Note,Customer Phone Change,POS Debit
1,07022016,Advance Reversal,Customer to Customer Relationship Maintained,POS Preauthorization
1,07032016,Consumer Recommendations Create MSR,NEW_ACCT_FUNDING_INFO,Settlements
1,07032016,Business Deposit and Credit flow selected,DUPLICATE_TIN_OVERRIDE,REPORT WORKFLOW STATISTICS
1,07032016,Credit Adjustment,ODP Maintenance,STATE_RESTRICTION
1,07032016,Bill Payment Reject,Direct Deposit Advance,REIMBURSEMENTS
1,07042016,ATM Time Out,Customized Sumry in Spanish,Purchase Stamps
1,07162016,ATM/DEBIT PIN CARD,Customized Sumry via Online,QUALIFY_FOR_DEP_EDIT_ADDR_ID
1,07162016,Add Contact Event,Customer Privacy Preferences Maintenance,POS Internal Debit
1,07182016,Account Closed,Customer Combine,OVERDRAFT_SERVICE_CHARGES
1,07212016,Business Deposit – IOLTA flow selection,Download,REPORT LOGIN STATISTICS
1,07232016,Bill Payment Miscellaneous,Direct Deposit,Referral to Wells Fargo at Work partner
1,07252016,BALANCE TRANSFERS,Deposit Advance,Referral to Consumer Insurance partner
1,07262016,Bill Payment Reversal,Direct Deposit Advance Repayment,RENEW_TIME_ACCOUNT
1,07292016,CIVSSALES_PMA_ACCOUNT_LINKAGES,LINE_LOAN_DELINQUENT,RIGHT_PANEL_QUICK_LINKS
1,08012016,Advance Reversal,Customer to Customer Relationship Maintained,POS Preauthorization
1,08012016,Account Open - IRA Account,Customer Maintenance Other,PMA Relationship Maintenance
1,08022016,ATM/DEBIT PIN CARD,Customized Sumry via Online,QUALIFY_FOR_DEP_EDIT_ADDR_ID
1,08022016,Close,LOST/STOLEN/FRAUD,SALES_SUPERVISOR_APPROVAL_OUTCOME
1,08022016,UpdateMSR,Wire Transfer Inquiry,Transfer Reversal
1,08052016,Book Transfer Create,Direct Deposit Advance Reversal,Reopen
1,08052016,Bank-initiated transfer,DIR_DEP_ADVANCE,Referral to Wealth Brokerage and Retirement partner
1,08062016,CREDIT_CARD_FEE_REIMBURSEMENT,Outbound Leads Inquiry,TOKEN VERIFICATION
1,08072016,Business  Deposit Only – Special Relationship flow,EFORM ACCESS,REPORT_ACCOUNT_CLOSE
1,08082016,BALANCE TRANSFERS,Deposit Advance,Referral to Consumer Insurance partner
1,08082016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
1,08112016,CNA Updated,Make An Appt,Securities Transaction
1,08152016,Account Hold Add,Customer Interaction fields entered on profile,Payment
1,08152016,CHECK ORDER,FTO CONVERTER REQUEST,REPORT_ERROR_COMMENT
1,08162016,Add Contact Event,Customer Privacy Preferences Maintenance,POS Internal Debit
1,08162016,Balance Inquiry,Deposit,Referral to Business Insurance partner
1,08162016,CIVSALES_ONLINE_BANKING_BILL_PAY,Internal debit reversal,REPORT_WAY2SAVE
1,08162016,CNA Added,M/G/F ,SCHEDULED TRANSFER
1,08172016,Account Hold Add,Customer Interaction fields entered on profile,Payment
1,08172016,CREDIT_CARD_FEE_REIMBURSEMENT,Outbound Leads Inquiry,TOKEN VERIFICATION
1,08192016,Bill Payment Reject,Direct Deposit Advance,REIMBURSEMENTS
1,08262016,Business Credit Only flow selection,Documents hyperlink accessed,REPORT FREQUENCY STATISTICS
1,08282016,CONTACT_EVENT_CREATED,NEW_ACCT_OPEN,SOFTPHONE_EVENT
1,09012016,Account Maintenance,Customer Maintenance Identification,PHOTOCOPIES
1,09042016,Business - Deposit - RETA flow  selected,Dividend,REPLACE CREDIT CARD (Lost Stolen or Damaged)
1,09042016,Advance Reversal,Customer to Customer Relationship Maintained,POS Preauthorization
1,09042016,Cash WFB Check,Express Balance Statement,REPORT_CALL_PRICING
1,09042016,CIVSALES_TAB_CLICKER,LIGHT_INTERFACE_WITH_CIVSERVICE,Reverse Fee Request
1,09072016,Check Card Credit,Fee Decision Tool Approval Queue,REPORT_CTI_REGISTER
1,09072016,CIVSSALES_PMA_ACCOUNT_LINKAGES,LINE_LOAN_DELINQUENT,RIGHT_PANEL_QUICK_LINKS
1,09132016,Verify WFB Funds,Withdrawal Reversal,TRAVEL PLAN MAINTENANCE
1,09162016,Add Contact Event,Customer Privacy Preferences Maintenance,POS Internal Debit
1,09202016,Customer Address Change,Overdraft Protection Transfer Reversal,Transfer of Debit
1,09202016,Cash WFB Check,Express Balance Statement,REPORT_CALL_PRICING
1,09202016,Account Hold Remove,Customer Maintenance - Process Beneficiary Services,PAYOFF PAYDOWN
1,09262016,Check,EXPRESSSEND_FIRST_TRANSFER,REPORT_CTI_POP
1,09262016,Cancelled,EMAIL MAINTENANCE,REPORT_ACCOUNTCONVERSION
1,09262016,CUAC Maintenance,Overdraft Protection Transfer,Transfer
1,09262016,Bill Payment Reversal,Direct Deposit Advance Repayment,RENEW_TIME_ACCOUNT
1,09272016,ATM/CHECK CARD MAINTENANCE,Customized Sumry NOT via Online,Purchase Wire
1,09272016,Credit Reversal,ORDER NEW HEAC CARD,Tax
1,09272016,Cancel Contact Event,EFS PAYOFF,REPORT_ACCOUNT_LOOKUP
1,09272016,CIVSALES_CUSTOMER_SESSION,Incompleted Transaction - Cust Init,REPORT_STOP_PAYMENT
1,09282016,Bank-initiated debit,Deposit Reversal,Referral to Student Loan partner
1,09282016,Advance,Customer Time Out,POS Merchandise Reversal
1,09282016,Authorized Debit,DEP_PRODUCTS_AND_RATES,Referral to Business Banking Group (BBG) partner
1,10042016,CreateMSR,ODP DETAIL,Stamps Reversal
1,10062016,Check Card Purchase Preauthorization,Fee Decision Tool is accessed from the Checking/Saving Account,REPORT_ECPR_STATS
1,10072016,Account Open - IRA Account,Customer Maintenance Other,PMA Relationship Maintenance
1,10072016,Book Transfer Create,Direct Deposit Advance Reversal,Reopen
1,10072016,Customer Address Change,Overdraft Protection Transfer Reversal,Transfer of Debit
1,10102016,Wire Transfer Create,Wire Transfer Create,Wire Transfer Create
1,10102016,ADDRESS CHANGE,Customer Snapshot Inquiry,POS Merchandise Credit Reversal
1,10102016,Cash Check on Credit Card/LOC,Enroll Online Wires,REPORT_AUTHENTICATION_TRACKER_DATA
1,10102016,Credit Offer at ATM,ONLINE SERVICE ,Stop Payment Delete
1,10112016,Advance,Customer Time Out,POS Merchandise Reversal
1,10162016,CLAIMS_PROCESSING,Log On,Risk Screen Failure
1,10172016,ADDRESS CHANGE,Customer Snapshot Inquiry,POS Merchandise Credit Reversal
1,10212016,Bank Product Purchase Reversal,Deposit Check,Referral to Mortgage partner
1,10282016,BALANCE TRANSFERS,Deposit Advance,Referral to Consumer Insurance partner
1,10282016,Credit Options guide (COG) tool accessed,ONLINE_WIRES,Sweep
1,11012016,CREDIT CARD REWARDS,ONLINE PROFILE MAINTENANCE,Stop Payment Add
1,11012016,Authorized Credit,Debit Reversal,Referral
